journal,title,year,doi,novel_taxon,geography,age1,age2
Science,Eocene Fagaceae from Patagonia and Gondwanan legacy in Asian rainforests,2019,10.1126/science.aaw5139,Castanopsis rothwellii,Argentina,Cenozoic,Eocene
Science,Eocene lantern fruits from Gondwanan Patagonia and the early origins of Solanaceae,2017,10.1126/science.aag2737,Physalis infinemundi,Argentina,Cenozoic,Eocene
Science,Oligocene primates from China reveal divergence between African and Asian primate evolution,2016,10.1126/science.aaf2107,Yunnanadapis folivorus ,China,Cenozoic,Oligocene
Science,Oligocene primates from China reveal divergence between African and Asian primate evolution,2016,10.1126/science.aaf2107,Yunnanadapis imperator,China,Cenozoic,Oligocene
Science,Oligocene primates from China reveal divergence between African and Asian primate evolution,2016,10.1126/science.aaf2107,Laomaki yunnanensis ,China,Cenozoic,Oligocene
Science,Oligocene primates from China reveal divergence between African and Asian primate evolution,2016,10.1126/science.aaf2107,Gatanthropus micros,China,Cenozoic,Oligocene
Science,Oligocene primates from China reveal divergence between African and Asian primate evolution,2016,10.1126/science.aaf2107,Oligotarsius rarus,China,Cenozoic,Oligocene
Science,Oligocene primates from China reveal divergence between African and Asian primate evolution,2016,10.1126/science.aaf2107,Bahinia banyueae ,China,Cenozoic,Oligocene
Science,Mesozoic mammaliaforms illuminate the origins of pelage coloration,2025,10.1126/science.ads9734,Arboroharamiya fuscus,China,Mesozoic,Jurassic
Science,Enigmatic amphibians in mid-Cretaceous amber were chameleon-like ballistic feeders,2020,10.1126/science.abb6005,Yaksha perettii,Myanmar,Mesozoic,Cretaceous
Science,A Silurian maxillate placoderm illuminates jaw evolution,2016,10.1126/science.aah3764,Qilinyu rostrata,China,Paleozoic,Silurian
Science,A tetrapod fauna from within the Devonian Antarctic Circle,2018,10.1126/science.aaq1645,Tutusius umlambo,South Africa,Paleozoic,Devonian
Science,A tetrapod fauna from within the Devonian Antarctic Circle,2018,10.1126/science.aaq1645,Umzantsia amazana,South Africa,Paleozoic,Devonian
Science,100-Million-Year Dynasty of Giant Planktivorous Bony Fishes in the Mesozoic Seas,2010,10.1126/science.1184743,Rhinconichthys taylori,United Kingdom,Mesozoic,Cretaceous
Science,New Jurassic mammaliaform sheds light on early evolution of mammal-like hyoid bones,2019,10.1126/science.aau9345,Microdocodon gracilis,China,Mesozoic,Jurassic
Science,A new biologic paleoaltimetry indicating Late Miocene rapid uplift of northern Tibet Plateau,2022,10.1126/science.abo2475,,,,
Science,Manta-like planktivorous sharks in Late Cretaceous oceans,2021,10.1126/science.abc1490,Aquilolamna milarcae,Mexico,Mesozoic,Cretaceous
Science,Out of Tibet: Pliocene Woolly Rhino Suggests High-Plateau Origin of Ice Age Megaherbivores,2011,10.1126/science.1206594,Coelodonta thibetana,China,Cenozoic,Pliocene
Science,A four-legged snake from the Early Cretaceous of Gondwana,2015,10.1126/science.aaa9208,Tetrapodophis amplectus,Brazil,Mesozoic,Cretaceous
